platform,risk_flag,url,text_for_sentiment,sentiment_family
YouTube,climate_impact_concern,https://www.youtube.com/watch?v=r8wyfC80JHk,"Teori2 terus, carbon2 terus sdh brp th tdk kelar2, malah hasilnya banjir bandang sumatra. Hutan dibabat ugal2an. Yg penting aksi nyata, jgn seminar2 terus.",negative
YouTube,conflict_land_tenure,https://www.youtube.com/watch?v=VAWbmpRDDeM,Tujuan Sekolah dan Kuliah.....mencetak pegawai pns dan swasta....bukan mencetak pengusaha ..sekolah dan universitas..itu baik...tapi karena gak diterima jadi pns dan swasta...akhirnya lulusan sma dan kuliah....banyak buka usaha sendiri....dan persaingan sengit.........ada sampe yang gak makan.... Kritik bagi sekolah universitas..... Mengapa disekolah dan kuliah cuma diajari kejar nilai...dan pelajaran yang gak manfaat untuk bertahan hidup.... Mengapa kok siswa dan mahasiswa gak diajari mandiri hidup... Misal hasilkan pangan mandiri... Buat pakaian Buat rumah Dan transaksi barter.... Klo pangan dihasilkan orang lain Pakaian dihasilkan orang lain Rumah dihasilkan orang lain.... Kapan kita mandirinya????? seharusnya pelajaran hasilkan pangan mandiri buat pakaian buat rumah diajarkan disekolah dan universitas....sehingga siswa dan mahasiswa tau caranya.... Ketika orang orang yang hasilkan makanan dan api untuk memasak pakaian rumah tumbang karena krisis...kita ikut tumbang.... Klo negara krisis ekonomi....inflasi atau deflasi Klo perusahaan besar perusahaan pakaian tumbang.. Krisis energi tak terbarukan..... Bagaimana kita bisa siap???? Sebab kita tak bisa hasilkan api sendiri gak bisa hasilkan sumber pangan sendiri Gak bisa hasilkan Pakaian sendiri Gak bisa hasilkan Rumah sendiri....... Trus pengaruh krisis global inflasi deflasi kurs rupiah terhadap dollar... Kenaikan LPG Listrik BBM Kita kalah dengan suku asmat suku baduy suku dayak suku mentawai..... Mereka memang kuno......tapi mereka gak bergantung harga minyak dunia kurs rupiah terhadap dollar...inflasi deflasi .....tak takut kelangkaan BBM LPG nikel batubara......bisa bertahan tanpa listrik.... Karena mereka bisa hasilkan pangan mandiri dan api memasak mandiri....mandiri pangan.....transaksi barter...kehidupan sederhana.....minum ngambil dari sumur sederhana... Transportasi darat menggunakan kuda/keledai... Sekarang kita harus mandiri pangan....tiap kanan kiri jalan dari sabang sampai merauke ditanami berbagai macam pohon dan tanaman buah buahan ubi singkong porang sayur cabe tomat rempah2 kacang2an biji bijian....pohon kapas...untuk dibarter Warga +62 yang disekolah dan kuliah...harus tau cara hasilkan pangan mandiri ..ternak ayam burung puyuh pedaging dan petelur dilahan sempit..dan ternak ikan dan udang air tawar dilahan sempit....dikolam atau ember khusus budidaya...ternak kambing sapi dilahan luas..... Semuanya untuk dibarter dengan beras....dengan tetangga yang diajari menenun pakaian dari benang dan tanaman kapas yang ditanam disekitarnya.... Juga diajarkan cara buat rumah sederhana.... Supaya kita mandiri...... Gak tergantung kapitalis terus masalah pangan air pakaian rumah.....tapi produktif dalam masalah tadi.... Transportasi darat unta kuda keledai dikembangbiakkan dilestarikan padang rumput... Itu lebih baik dari motor dan mobil yang tergantung nikel solar bbm yang adalah energi tak terbarukan...yang banyak merusak alam dan lingkungan hidup Klo bisa sedunia jadi frutarian(pemakan buah2an) sekalian makan buah buahan saja...enak gak bergantung penanak nasi dan LPG...yang dari listrik dan gas energi tak terbarukan....tanam pohon dan tanaman buah buahan dibanyak tempat sebanyak2nya untuk dirawat dan dimakan dan dibarter dan akses pangan gratis.....di tiap kanan kiri jalan dari sabang sampai merauke... Minimal itu yang baik bagi alam lingkungan hidup dan generasi pelanjut kita cucu cicit dst......,negative
YouTube,deforestation_criticism,https://www.youtube.com/watch?v=VAWbmpRDDeM,Tujuan Sekolah dan Kuliah.....mencetak pegawai pns dan swasta....bukan mencetak pengusaha ..sekolah dan universitas..itu baik...tapi karena gak diterima jadi pns dan swasta...akhirnya lulusan sma dan kuliah....banyak buka usaha sendiri....dan persaingan sengit.........ada sampe yang gak makan.... Kritik bagi sekolah universitas..... Mengapa disekolah dan kuliah cuma diajari kejar nilai...dan pelajaran yang gak manfaat untuk bertahan hidup.... Mengapa kok siswa dan mahasiswa gak diajari mandiri hidup... Misal hasilkan pangan mandiri... Buat pakaian Buat rumah Dan transaksi barter.... Klo pangan dihasilkan orang lain Pakaian dihasilkan orang lain Rumah dihasilkan orang lain.... Kapan kita mandirinya????? seharusnya pelajaran hasilkan pangan mandiri buat pakaian buat rumah diajarkan disekolah dan universitas....sehingga siswa dan mahasiswa tau caranya.... Ketika orang orang yang hasilkan makanan dan api untuk memasak pakaian rumah tumbang karena krisis...kita ikut tumbang.... Klo negara krisis ekonomi....inflasi atau deflasi Klo perusahaan besar perusahaan pakaian tumbang.. Krisis energi tak terbarukan..... Bagaimana kita bisa siap???? Sebab kita tak bisa hasilkan api sendiri gak bisa hasilkan sumber pangan sendiri Gak bisa hasilkan Pakaian sendiri Gak bisa hasilkan Rumah sendiri....... Trus pengaruh krisis global inflasi deflasi kurs rupiah terhadap dollar... Kenaikan LPG Listrik BBM Kita kalah dengan suku asmat suku baduy suku dayak suku mentawai..... Mereka memang kuno......tapi mereka gak bergantung harga minyak dunia kurs rupiah terhadap dollar...inflasi deflasi .....tak takut kelangkaan BBM LPG nikel batubara......bisa bertahan tanpa listrik.... Karena mereka bisa hasilkan pangan mandiri dan api memasak mandiri....mandiri pangan.....transaksi barter...kehidupan sederhana.....minum ngambil dari sumur sederhana... Transportasi darat menggunakan kuda/keledai... Sekarang kita harus mandiri pangan....tiap kanan kiri jalan dari sabang sampai merauke ditanami berbagai macam pohon dan tanaman buah buahan ubi singkong porang sayur cabe tomat rempah2 kacang2an biji bijian....pohon kapas...untuk dibarter Warga +62 yang disekolah dan kuliah...harus tau cara hasilkan pangan mandiri ..ternak ayam burung puyuh pedaging dan petelur dilahan sempit..dan ternak ikan dan udang air tawar dilahan sempit....dikolam atau ember khusus budidaya...ternak kambing sapi dilahan luas..... Semuanya untuk dibarter dengan beras....dengan tetangga yang diajari menenun pakaian dari benang dan tanaman kapas yang ditanam disekitarnya.... Juga diajarkan cara buat rumah sederhana.... Supaya kita mandiri...... Gak tergantung kapitalis terus masalah pangan air pakaian rumah.....tapi produktif dalam masalah tadi.... Transportasi darat unta kuda keledai dikembangbiakkan dilestarikan padang rumput... Itu lebih baik dari motor dan mobil yang tergantung nikel solar bbm yang adalah energi tak terbarukan...yang banyak merusak alam dan lingkungan hidup Klo bisa sedunia jadi frutarian(pemakan buah2an) sekalian makan buah buahan saja...enak gak bergantung penanak nasi dan LPG...yang dari listrik dan gas energi tak terbarukan....tanam pohon dan tanaman buah buahan dibanyak tempat sebanyak2nya untuk dirawat dan dimakan dan dibarter dan akses pangan gratis.....di tiap kanan kiri jalan dari sabang sampai merauke... Minimal itu yang baik bagi alam lingkungan hidup dan generasi pelanjut kita cucu cicit dst......,negative
YouTube,unanswered_question,https://www.youtube.com/watch?v=VAWbmpRDDeM,Tujuan Sekolah dan Kuliah.....mencetak pegawai pns dan swasta....bukan mencetak pengusaha ..sekolah dan universitas..itu baik...tapi karena gak diterima jadi pns dan swasta...akhirnya lulusan sma dan kuliah....banyak buka usaha sendiri....dan persaingan sengit.........ada sampe yang gak makan.... Kritik bagi sekolah universitas..... Mengapa disekolah dan kuliah cuma diajari kejar nilai...dan pelajaran yang gak manfaat untuk bertahan hidup.... Mengapa kok siswa dan mahasiswa gak diajari mandiri hidup... Misal hasilkan pangan mandiri... Buat pakaian Buat rumah Dan transaksi barter.... Klo pangan dihasilkan orang lain Pakaian dihasilkan orang lain Rumah dihasilkan orang lain.... Kapan kita mandirinya????? seharusnya pelajaran hasilkan pangan mandiri buat pakaian buat rumah diajarkan disekolah dan universitas....sehingga siswa dan mahasiswa tau caranya.... Ketika orang orang yang hasilkan makanan dan api untuk memasak pakaian rumah tumbang karena krisis...kita ikut tumbang.... Klo negara krisis ekonomi....inflasi atau deflasi Klo perusahaan besar perusahaan pakaian tumbang.. Krisis energi tak terbarukan..... Bagaimana kita bisa siap???? Sebab kita tak bisa hasilkan api sendiri gak bisa hasilkan sumber pangan sendiri Gak bisa hasilkan Pakaian sendiri Gak bisa hasilkan Rumah sendiri....... Trus pengaruh krisis global inflasi deflasi kurs rupiah terhadap dollar... Kenaikan LPG Listrik BBM Kita kalah dengan suku asmat suku baduy suku dayak suku mentawai..... Mereka memang kuno......tapi mereka gak bergantung harga minyak dunia kurs rupiah terhadap dollar...inflasi deflasi .....tak takut kelangkaan BBM LPG nikel batubara......bisa bertahan tanpa listrik.... Karena mereka bisa hasilkan pangan mandiri dan api memasak mandiri....mandiri pangan.....transaksi barter...kehidupan sederhana.....minum ngambil dari sumur sederhana... Transportasi darat menggunakan kuda/keledai... Sekarang kita harus mandiri pangan....tiap kanan kiri jalan dari sabang sampai merauke ditanami berbagai macam pohon dan tanaman buah buahan ubi singkong porang sayur cabe tomat rempah2 kacang2an biji bijian....pohon kapas...untuk dibarter Warga +62 yang disekolah dan kuliah...harus tau cara hasilkan pangan mandiri ..ternak ayam burung puyuh pedaging dan petelur dilahan sempit..dan ternak ikan dan udang air tawar dilahan sempit....dikolam atau ember khusus budidaya...ternak kambing sapi dilahan luas..... Semuanya untuk dibarter dengan beras....dengan tetangga yang diajari menenun pakaian dari benang dan tanaman kapas yang ditanam disekitarnya.... Juga diajarkan cara buat rumah sederhana.... Supaya kita mandiri...... Gak tergantung kapitalis terus masalah pangan air pakaian rumah.....tapi produktif dalam masalah tadi.... Transportasi darat unta kuda keledai dikembangbiakkan dilestarikan padang rumput... Itu lebih baik dari motor dan mobil yang tergantung nikel solar bbm yang adalah energi tak terbarukan...yang banyak merusak alam dan lingkungan hidup Klo bisa sedunia jadi frutarian(pemakan buah2an) sekalian makan buah buahan saja...enak gak bergantung penanak nasi dan LPG...yang dari listrik dan gas energi tak terbarukan....tanam pohon dan tanaman buah buahan dibanyak tempat sebanyak2nya untuk dirawat dan dimakan dan dibarter dan akses pangan gratis.....di tiap kanan kiri jalan dari sabang sampai merauke... Minimal itu yang baik bagi alam lingkungan hidup dan generasi pelanjut kita cucu cicit dst......,negative
YouTube,deforestation_criticism,https://www.youtube.com/watch?v=VAWbmpRDDeM,Tolong di tata ulang seluruh kawasan hutan di lereng pegunungan yg beralih fungsi menjadi ladang di seluruh indonesia. Daratan bisa terbentuk menjadi gunung2 memakan jutaan hingga milyaran tahun dan bumi sebagai tempat tinggal MANUSIA justru di rusak..!,negative
YouTube,unanswered_question,https://www.youtube.com/watch?v=VAWbmpRDDeM,Sumatra gimana,neutral
YouTube,conflict_land_tenure,https://www.youtube.com/watch?v=VAWbmpRDDeM,......Tujuan Sekolah dan Kuliah.....mencetak pegawai pns dan swasta....bukan mencetak pengusaha ..sekolah dan universitas..itu baik...tapi karena gak diterima jadi pns dan swasta...akhirnya lulusan sma dan kuliah....banyak buka usaha sendiri....dan persaingan sengit.........ada sampe yang gak makan.... Kritik bagi sekolah universitas..... Mengapa disekolah dan kuliah cuma diajari kejar nilai...dan pelajaran yang gak manfaat untuk bertahan hidup.... Mengapa kok siswa dan mahasiswa gak diajari mandiri hidup... Misal hasilkan pangan mandiri... Buat pakaian Buat rumah Dan transaksi barter.... Klo pangan dihasilkan orang lain Pakaian dihasilkan orang lain Rumah dihasilkan orang lain.... Kapan kita mandirinya????? seharusnya pelajaran hasilkan pangan mandiri buat pakaian buat rumah diajarkan disekolah dan universitas....sehingga siswa dan mahasiswa tau caranya.... Ketika orang orang yang hasilkan makanan dan api untuk memasak pakaian rumah tumbang karena krisis...kita ikut tumbang.... Klo negara krisis ekonomi....inflasi atau deflasi Klo perusahaan besar perusahaan pakaian tumbang.. Krisis energi tak terbarukan..... Bagaimana kita bisa siap???? Sebab kita tak bisa hasilkan api sendiri gak bisa hasilkan sumber pangan sendiri Gak bisa hasilkan Pakaian sendiri Gak bisa hasilkan Rumah sendiri....... Trus pengaruh krisis global inflasi deflasi kurs rupiah terhadap dollar... Kenaikan LPG Listrik BBM Kita kalah dengan suku asmat suku baduy suku dayak suku mentawai..... Mereka memang kuno......tapi mereka gak bergantung harga minyak dunia kurs rupiah terhadap dollar...inflasi deflasi .....tak takut kelangkaan BBM LPG nikel batubara......bisa bertahan tanpa listrik.... Karena mereka bisa hasilkan pangan mandiri dan api memasak mandiri....mandiri pangan.....transaksi barter...kehidupan sederhana.....minum ngambil dari sumur sederhana... Transportasi darat menggunakan kuda/keledai... Sekarang kita harus mandiri pangan....tiap kanan kiri jalan dari sabang sampai merauke ditanami berbagai macam pohon dan tanaman buah buahan ubi singkong porang sayur cabe tomat rempah2 kacang2an biji bijian....pohon kapas...untuk dibarter Warga +62 yang disekolah dan kuliah...harus tau cara hasilkan pangan mandiri ..ternak ayam burung puyuh pedaging dan petelur dilahan sempit..dan ternak ikan dan udang air tawar dilahan sempit....dikolam atau ember khusus budidaya...ternak kambing sapi dilahan luas..... Semuanya untuk dibarter dengan beras....dengan tetangga yang diajari menenun pakaian dari benang dan tanaman kapas yang ditanam disekitarnya.... Juga diajarkan cara buat rumah sederhana.... Supaya kita mandiri...... Gak tergantung kapitalis terus masalah pangan air pakaian rumah.....tapi produktif dalam masalah tadi.... Transportasi darat unta kuda keledai dikembangbiakkan dilestarikan padang rumput... Itu lebih baik dari motor dan mobil yang tergantung nikel solar bbm yang adalah energi tak terbarukan...yang banyak merusak alam dan lingkungan hidup Klo bisa sedunia jadi frutarian(pemakan buah2an) sekalian makan buah buahan saja...enak gak bergantung penanak nasi dan LPG...yang dari listrik dan gas energi tak terbarukan....tanam pohon dan tanaman buah buahan dibanyak tempat sebanyak2nya untuk dirawat dan dimakan dan dibarter dan akses pangan gratis.....di tiap kanan kiri jalan dari sabang sampai merauke... Minimal itu yang baik bagi alam lingkungan hidup dan generasi pelanjut kita cucu cicit dst......,negative
YouTube,deforestation_criticism,https://www.youtube.com/watch?v=VAWbmpRDDeM,......Tujuan Sekolah dan Kuliah.....mencetak pegawai pns dan swasta....bukan mencetak pengusaha ..sekolah dan universitas..itu baik...tapi karena gak diterima jadi pns dan swasta...akhirnya lulusan sma dan kuliah....banyak buka usaha sendiri....dan persaingan sengit.........ada sampe yang gak makan.... Kritik bagi sekolah universitas..... Mengapa disekolah dan kuliah cuma diajari kejar nilai...dan pelajaran yang gak manfaat untuk bertahan hidup.... Mengapa kok siswa dan mahasiswa gak diajari mandiri hidup... Misal hasilkan pangan mandiri... Buat pakaian Buat rumah Dan transaksi barter.... Klo pangan dihasilkan orang lain Pakaian dihasilkan orang lain Rumah dihasilkan orang lain.... Kapan kita mandirinya????? seharusnya pelajaran hasilkan pangan mandiri buat pakaian buat rumah diajarkan disekolah dan universitas....sehingga siswa dan mahasiswa tau caranya.... Ketika orang orang yang hasilkan makanan dan api untuk memasak pakaian rumah tumbang karena krisis...kita ikut tumbang.... Klo negara krisis ekonomi....inflasi atau deflasi Klo perusahaan besar perusahaan pakaian tumbang.. Krisis energi tak terbarukan..... Bagaimana kita bisa siap???? Sebab kita tak bisa hasilkan api sendiri gak bisa hasilkan sumber pangan sendiri Gak bisa hasilkan Pakaian sendiri Gak bisa hasilkan Rumah sendiri....... Trus pengaruh krisis global inflasi deflasi kurs rupiah terhadap dollar... Kenaikan LPG Listrik BBM Kita kalah dengan suku asmat suku baduy suku dayak suku mentawai..... Mereka memang kuno......tapi mereka gak bergantung harga minyak dunia kurs rupiah terhadap dollar...inflasi deflasi .....tak takut kelangkaan BBM LPG nikel batubara......bisa bertahan tanpa listrik.... Karena mereka bisa hasilkan pangan mandiri dan api memasak mandiri....mandiri pangan.....transaksi barter...kehidupan sederhana.....minum ngambil dari sumur sederhana... Transportasi darat menggunakan kuda/keledai... Sekarang kita harus mandiri pangan....tiap kanan kiri jalan dari sabang sampai merauke ditanami berbagai macam pohon dan tanaman buah buahan ubi singkong porang sayur cabe tomat rempah2 kacang2an biji bijian....pohon kapas...untuk dibarter Warga +62 yang disekolah dan kuliah...harus tau cara hasilkan pangan mandiri ..ternak ayam burung puyuh pedaging dan petelur dilahan sempit..dan ternak ikan dan udang air tawar dilahan sempit....dikolam atau ember khusus budidaya...ternak kambing sapi dilahan luas..... Semuanya untuk dibarter dengan beras....dengan tetangga yang diajari menenun pakaian dari benang dan tanaman kapas yang ditanam disekitarnya.... Juga diajarkan cara buat rumah sederhana.... Supaya kita mandiri...... Gak tergantung kapitalis terus masalah pangan air pakaian rumah.....tapi produktif dalam masalah tadi.... Transportasi darat unta kuda keledai dikembangbiakkan dilestarikan padang rumput... Itu lebih baik dari motor dan mobil yang tergantung nikel solar bbm yang adalah energi tak terbarukan...yang banyak merusak alam dan lingkungan hidup Klo bisa sedunia jadi frutarian(pemakan buah2an) sekalian makan buah buahan saja...enak gak bergantung penanak nasi dan LPG...yang dari listrik dan gas energi tak terbarukan....tanam pohon dan tanaman buah buahan dibanyak tempat sebanyak2nya untuk dirawat dan dimakan dan dibarter dan akses pangan gratis.....di tiap kanan kiri jalan dari sabang sampai merauke... Minimal itu yang baik bagi alam lingkungan hidup dan generasi pelanjut kita cucu cicit dst......,negative
YouTube,unanswered_question,https://www.youtube.com/watch?v=VAWbmpRDDeM,......Tujuan Sekolah dan Kuliah.....mencetak pegawai pns dan swasta....bukan mencetak pengusaha ..sekolah dan universitas..itu baik...tapi karena gak diterima jadi pns dan swasta...akhirnya lulusan sma dan kuliah....banyak buka usaha sendiri....dan persaingan sengit.........ada sampe yang gak makan.... Kritik bagi sekolah universitas..... Mengapa disekolah dan kuliah cuma diajari kejar nilai...dan pelajaran yang gak manfaat untuk bertahan hidup.... Mengapa kok siswa dan mahasiswa gak diajari mandiri hidup... Misal hasilkan pangan mandiri... Buat pakaian Buat rumah Dan transaksi barter.... Klo pangan dihasilkan orang lain Pakaian dihasilkan orang lain Rumah dihasilkan orang lain.... Kapan kita mandirinya????? seharusnya pelajaran hasilkan pangan mandiri buat pakaian buat rumah diajarkan disekolah dan universitas....sehingga siswa dan mahasiswa tau caranya.... Ketika orang orang yang hasilkan makanan dan api untuk memasak pakaian rumah tumbang karena krisis...kita ikut tumbang.... Klo negara krisis ekonomi....inflasi atau deflasi Klo perusahaan besar perusahaan pakaian tumbang.. Krisis energi tak terbarukan..... Bagaimana kita bisa siap???? Sebab kita tak bisa hasilkan api sendiri gak bisa hasilkan sumber pangan sendiri Gak bisa hasilkan Pakaian sendiri Gak bisa hasilkan Rumah sendiri....... Trus pengaruh krisis global inflasi deflasi kurs rupiah terhadap dollar... Kenaikan LPG Listrik BBM Kita kalah dengan suku asmat suku baduy suku dayak suku mentawai..... Mereka memang kuno......tapi mereka gak bergantung harga minyak dunia kurs rupiah terhadap dollar...inflasi deflasi .....tak takut kelangkaan BBM LPG nikel batubara......bisa bertahan tanpa listrik.... Karena mereka bisa hasilkan pangan mandiri dan api memasak mandiri....mandiri pangan.....transaksi barter...kehidupan sederhana.....minum ngambil dari sumur sederhana... Transportasi darat menggunakan kuda/keledai... Sekarang kita harus mandiri pangan....tiap kanan kiri jalan dari sabang sampai merauke ditanami berbagai macam pohon dan tanaman buah buahan ubi singkong porang sayur cabe tomat rempah2 kacang2an biji bijian....pohon kapas...untuk dibarter Warga +62 yang disekolah dan kuliah...harus tau cara hasilkan pangan mandiri ..ternak ayam burung puyuh pedaging dan petelur dilahan sempit..dan ternak ikan dan udang air tawar dilahan sempit....dikolam atau ember khusus budidaya...ternak kambing sapi dilahan luas..... Semuanya untuk dibarter dengan beras....dengan tetangga yang diajari menenun pakaian dari benang dan tanaman kapas yang ditanam disekitarnya.... Juga diajarkan cara buat rumah sederhana.... Supaya kita mandiri...... Gak tergantung kapitalis terus masalah pangan air pakaian rumah.....tapi produktif dalam masalah tadi.... Transportasi darat unta kuda keledai dikembangbiakkan dilestarikan padang rumput... Itu lebih baik dari motor dan mobil yang tergantung nikel solar bbm yang adalah energi tak terbarukan...yang banyak merusak alam dan lingkungan hidup Klo bisa sedunia jadi frutarian(pemakan buah2an) sekalian makan buah buahan saja...enak gak bergantung penanak nasi dan LPG...yang dari listrik dan gas energi tak terbarukan....tanam pohon dan tanaman buah buahan dibanyak tempat sebanyak2nya untuk dirawat dan dimakan dan dibarter dan akses pangan gratis.....di tiap kanan kiri jalan dari sabang sampai merauke... Minimal itu yang baik bagi alam lingkungan hidup dan generasi pelanjut kita cucu cicit dst......,negative
YouTube,unanswered_question,https://www.youtube.com/watch?v=kVxbYKo2tGM,LHK Mana.?,neutral
YouTube,unanswered_question,https://www.youtube.com/watch?v=HOUSxPnuiJc,Kabupaten Karawang Hadir,positive
YouTube,unanswered_question,https://www.youtube.com/watch?v=xz5uL8mHqDQ,"telat hadir, terima kasih",positive
YouTube,unanswered_question,https://www.youtube.com/watch?v=xz5uL8mHqDQ,Boleh minta link absensi terputus Krn mati lampu.,neutral
YouTube,unanswered_question,https://www.youtube.com/watch?v=xz5uL8mHqDQ,boleh minta materinya kak?,neutral
YouTube,unanswered_question,https://www.youtube.com/watch?v=xz5uL8mHqDQ,ayesha dinas kehutanan hadir,positive
TikTok,deforestation_criticism,https://www.tiktok.com/@afni.z/video/7241168082918575366,ke kampung saya ke minas barat buk singgah,neutral
TikTok,deforestation_criticism,https://www.tiktok.com/@afni.z/video/7241168082918575366,ibu tolong donk carikan solusi buat kampung saya yang hutan bakaux di tebang dan di buat empang,positive
TikTok,conflict_land_tenure,https://www.tiktok.com/@afni.z/video/7241168082918575366,"izin bertanya,Bu di daerah kami khusus nya Bengkayang / Kalbar di kampung kami, banyak tanah pribadi di buat menjadi hutan lindung,",negative
TikTok,deforestation_criticism,https://www.tiktok.com/@afni.z/video/7241168082918575366,"izin bertanya,Bu di daerah kami khusus nya Bengkayang / Kalbar di kampung kami, banyak tanah pribadi di buat menjadi hutan lindung,",negative
TikTok,conflict_land_tenure,https://www.tiktok.com/@afni.z/video/7241168082918575366,izin taya bu. apa tanah perhutani yg sudah di tinggali masarakat puluhan tahun. bisa jadi tanah milik terimakasih,neutral
TikTok,deforestation_criticism,https://www.tiktok.com/@afni.z/video/7241168082918575366,izin taya bu. apa tanah perhutani yg sudah di tinggali masarakat puluhan tahun. bisa jadi tanah milik terimakasih,neutral
TikTok,unanswered_question,https://www.tiktok.com/@afni.z/video/7241168082918575366,izin taya bu. apa tanah perhutani yg sudah di tinggali masarakat puluhan tahun. bisa jadi tanah milik terimakasih,neutral
TikTok,conflict_land_tenure,https://www.tiktok.com/@afni.z/video/7241168082918575366,lebi baik tanah di berikan ke rkyat dr pada ke PT besar krna scra lgsg bisa mngurangi buru jd rkyt bisa mandiri,positive
TikTok,deforestation_criticism,https://www.tiktok.com/@afni.z/video/7241168082918575366,lebi baik tanah di berikan ke rkyat dr pada ke PT besar krna scra lgsg bisa mngurangi buru jd rkyt bisa mandiri,positive
TikTok,conflict_land_tenure,https://www.tiktok.com/@afni.z/video/7241168082918575366,bagaimana bu klo lahan kami bayar pajaknya tpi perusahaan yg ambil lahannya?,negative
TikTok,deforestation_criticism,https://www.tiktok.com/@afni.z/video/7241168082918575366,bagaimana bu klo lahan kami bayar pajaknya tpi perusahaan yg ambil lahannya?,negative
